Pelvis hips_JNT
SpineShoulder spine2_JNT
Chest spine2_JNT
ShoulderLeft l_arm_JNT
ElbowLeft l_forearm_JNT
LeftWrist l_hand_JNT
end_ElbowLeft l_hand_JNT
ShoulderRight r_arm_JNT
ElbowRight r_forearm_JNT
RightWrist r_hand_JNT
end_ElbowRight r_hand_JNT
Neck neck_JNT
Head head_JNT
end_Neck head_JNT
HeadOrient head_JNT
HipRight r_upleg_JNT
LegRight r_upleg_JNT
KneeRight r_leg_JNT
FootRight r_foot_JNT
end_KneeRight r_foot_JNT
HipLeft l_upleg_JNT
LegLeft l_upleg_JNT
KneeLeft l_leg_JNT
FootLeft l_foot_JNT
end_KneeLeft l_foot_JNT
